,Date,Rented Bike Count,Hour,Temperature(캜),Humidity(%),Wind speed (m/s),Visibility (10m),Seasons,Holiday,Functioning Day,Day,Month,Year
0,2017-12-01,254,0,-5.2,37,2.2,2000,Winter,No Holiday,Yes,1,12,2017
1,2017-12-01,204,1,-5.5,38,0.8,2000,Winter,No Holiday,Yes,1,12,2017
2,2017-12-01,173,2,-6.0,39,1.0,2000,Winter,No Holiday,Yes,1,12,2017
3,2017-12-01,107,3,-6.2,40,0.9,2000,Winter,No Holiday,Yes,1,12,2017
4,2017-12-01,78,4,-6.0,36,2.3,2000,Winter,No Holiday,Yes,1,12,2017
5,2017-12-01,100,5,-6.4,37,1.5,2000,Winter,No Holiday,Yes,1,12,2017
6,2017-12-01,181,6,-6.6,35,1.3,2000,Winter,No Holiday,Yes,1,12,2017
7,2017-12-01,460,7,-7.4,38,0.9,2000,Winter,No Holiday,Yes,1,12,2017
8,2017-12-01,930,8,-7.6,37,1.1,2000,Winter,No Holiday,Yes,1,12,2017
9,2017-12-01,490,9,-6.5,27,0.5,1928,Winter,No Holiday,Yes,1,12,2017
10,2017-12-01,339,10,-3.5,24,1.2,1996,Winter,No Holiday,Yes,1,12,2017
11,2017-12-01,360,11,-0.5,21,1.3,1936,Winter,No Holiday,Yes,1,12,2017
12,2017-12-01,449,12,1.7,23,1.4,2000,Winter,No Holiday,Yes,1,12,2017
13,2017-12-01,451,13,2.4,25,1.6,2000,Winter,No Holiday,Yes,1,12,2017
14,2017-12-01,447,14,3.0,26,2.0,2000,Winter,No Holiday,Yes,1,12,2017
15,2017-12-01,463,15,2.1,36,3.2,2000,Winter,No Holiday,Yes,1,12,2017
16,2017-12-01,484,16,1.2,54,4.2,793,Winter,No Holiday,Yes,1,12,2017
17,2017-12-01,555,17,0.8,58,1.6,2000,Winter,No Holiday,Yes,1,12,2017
18,2017-12-01,862,18,0.6,66,1.4,2000,Winter,No Holiday,Yes,1,12,2017
19,2017-12-01,600,19,0.0,77,1.7,2000,Winter,No Holiday,Yes,1,12,2017
20,2017-12-01,426,20,-0.3,79,1.5,1913,Winter,No Holiday,Yes,1,12,2017
21,2017-12-01,405,21,-0.8,81,0.8,1687,Winter,No Holiday,Yes,1,12,2017
22,2017-12-01,398,22,-0.9,83,1.5,1380,Winter,No Holiday,Yes,1,12,2017
23,2017-12-01,323,23,-1.3,84,1.0,1265,Winter,No Holiday,Yes,1,12,2017
24,2017-02-12,328,0,-1.8,87,1.1,994,Winter,No Holiday,Yes,12,2,2017
25,2017-02-12,308,1,-2.2,86,0.6,990,Winter,No Holiday,Yes,12,2,2017
26,2017-02-12,262,2,-2.9,86,1.5,1256,Winter,No Holiday,Yes,12,2,2017
27,2017-02-12,167,3,-3.5,81,2.2,1221,Winter,No Holiday,Yes,12,2,2017
28,2017-02-12,89,4,-3.8,79,2.0,1167,Winter,No Holiday,Yes,12,2,2017
29,2017-02-12,79,5,-4.0,79,1.5,1202,Winter,No Holiday,Yes,12,2,2017
30,2017-02-12,70,6,-4.3,82,2.1,1178,Winter,No Holiday,Yes,12,2,2017
31,2017-02-12,146,7,-4.4,81,2.5,1276,Winter,No Holiday,Yes,12,2,2017
32,2017-02-12,219,8,-4.2,79,2.1,1436,Winter,No Holiday,Yes,12,2,2017
33,2017-02-12,328,9,-2.9,68,1.6,1487,Winter,No Holiday,Yes,12,2,2017
34,2017-02-12,334,10,-0.4,57,1.6,1309,Winter,No Holiday,Yes,12,2,2017
35,2017-02-12,388,11,1.9,49,1.8,1406,Winter,No Holiday,Yes,12,2,2017
36,2017-02-12,479,12,4.3,41,1.3,1666,Winter,No Holiday,Yes,12,2,2017
37,2017-02-12,606,13,6.0,36,1.8,1780,Winter,No Holiday,Yes,12,2,2017
38,2017-02-12,611,14,7.3,35,1.3,1955,Winter,No Holiday,Yes,12,2,2017
39,2017-02-12,589,15,7.6,41,2.3,1953,Winter,No Holiday,Yes,12,2,2017
40,2017-02-12,618,16,6.4,48,2.6,1945,Winter,No Holiday,Yes,12,2,2017
41,2017-02-12,572,17,6.0,51,2.5,1891,Winter,No Holiday,Yes,12,2,2017
42,2017-02-12,489,18,5.5,53,1.5,1697,Winter,No Holiday,Yes,12,2,2017
43,2017-02-12,385,19,5.0,52,2.3,1666,Winter,No Holiday,Yes,12,2,2017
44,2017-02-12,359,20,4.6,51,1.2,1585,Winter,No Holiday,Yes,12,2,2017
45,2017-02-12,377,21,4.1,55,1.2,1448,Winter,No Holiday,Yes,12,2,2017
46,2017-02-12,354,22,3.5,54,1.5,1446,Winter,No Holiday,Yes,12,2,2017
47,2017-02-12,366,23,4.0,56,1.0,1352,Winter,No Holiday,Yes,12,2,2017
48,2017-03-12,342,0,4.0,58,1.4,1296,Winter,No Holiday,Yes,12,3,2017
49,2017-03-12,227,1,3.9,69,1.7,485,Winter,No Holiday,Yes,12,3,2017
50,2017-03-12,228,2,3.3,79,1.4,830,Winter,No Holiday,Yes,12,3,2017
51,2017-03-12,117,3,3.4,71,1.6,1011,Winter,No Holiday,Yes,12,3,2017
52,2017-03-12,76,4,3.5,73,1.0,1060,Winter,No Holiday,Yes,12,3,2017
53,2017-03-12,32,5,3.9,75,1.9,914,Winter,No Holiday,Yes,12,3,2017
54,2017-03-12,13,6,3.4,86,2.5,278,Winter,No Holiday,Yes,12,3,2017
55,2017-03-12,22,7,3.1,91,1.2,129,Winter,No Holiday,Yes,12,3,2017
56,2017-03-12,85,8,3.2,92,1.8,244,Winter,No Holiday,Yes,12,3,2017
57,2017-03-12,152,9,3.5,91,1.8,231,Winter,No Holiday,Yes,12,3,2017
58,2017-03-12,200,10,4.4,89,2.2,257,Winter,No Holiday,Yes,12,3,2017
59,2017-03-12,273,11,5.1,87,1.4,321,Winter,No Holiday,Yes,12,3,2017
60,2017-03-12,333,12,5.8,85,1.7,349,Winter,No Holiday,Yes,12,3,2017
61,2017-03-12,495,13,6.8,81,1.9,390,Winter,No Holiday,Yes,12,3,2017
62,2017-03-12,563,14,7.6,76,1.2,422,Winter,No Holiday,Yes,12,3,2017
63,2017-03-12,621,15,8.0,73,1.6,433,Winter,No Holiday,Yes,12,3,2017
64,2017-03-12,598,16,7.6,77,1.6,399,Winter,No Holiday,Yes,12,3,2017
65,2017-03-12,545,17,6.7,82,1.5,358,Winter,No Holiday,Yes,12,3,2017
66,2017-03-12,443,18,6.0,84,1.9,327,Winter,No Holiday,Yes,12,3,2017
67,2017-03-12,422,19,5.7,85,1.7,309,Winter,No Holiday,Yes,12,3,2017
68,2017-03-12,397,20,5.2,87,1.4,253,Winter,No Holiday,Yes,12,3,2017
69,2017-03-12,385,21,4.7,87,1.2,247,Winter,No Holiday,Yes,12,3,2017
70,2017-03-12,350,22,4.3,89,1.8,201,Winter,No Holiday,Yes,12,3,2017
71,2017-03-12,303,23,3.9,90,1.3,194,Winter,No Holiday,Yes,12,3,2017
72,2017-04-12,285,0,4.2,88,0.6,216,Winter,No Holiday,Yes,12,4,2017
73,2017-04-12,186,1,4.3,87,0.5,221,Winter,No Holiday,Yes,12,4,2017
74,2017-04-12,112,2,4.4,87,1.8,207,Winter,No Holiday,Yes,12,4,2017
75,2017-04-12,65,3,3.6,85,2.3,206,Winter,No Holiday,Yes,12,4,2017
76,2017-04-12,41,4,2.8,89,1.5,130,Winter,No Holiday,Yes,12,4,2017
77,2017-04-12,82,5,2.0,83,2.7,253,Winter,No Holiday,Yes,12,4,2017
78,2017-04-12,200,6,1.2,76,3.7,371,Winter,No Holiday,Yes,12,4,2017
79,2017-04-12,498,7,0.2,68,3.4,702,Winter,No Holiday,Yes,12,4,2017
80,2017-04-12,937,8,-0.8,69,3.5,954,Winter,No Holiday,Yes,12,4,2017
81,2017-04-12,509,9,-1.5,47,4.2,1888,Winter,No Holiday,Yes,12,4,2017
82,2017-04-12,311,10,-1.1,40,4.5,2000,Winter,No Holiday,Yes,12,4,2017
83,2017-04-12,379,11,-0.5,41,4.1,1799,Winter,No Holiday,Yes,12,4,2017
84,2017-04-12,393,12,-0.3,38,4.8,1823,Winter,No Holiday,Yes,12,4,2017
85,2017-04-12,391,13,0.0,30,5.4,1938,Winter,No Holiday,Yes,12,4,2017
86,2017-04-12,338,14,0.1,27,4.5,2000,Winter,No Holiday,Yes,12,4,2017
87,2017-04-12,341,15,-0.1,25,5.8,2000,Winter,No Holiday,Yes,12,4,2017
