,Rented Bike Count,Hour,Temperature(캜),Humidity(%),Wind speed (m/s),Visibility (10m),Seasons,Holiday,Functioning Day,Day,Month,Year
0,254,0,-5.2,37,2.2,2000,Winter,No Holiday,Yes,1,12,2017
1,204,1,-5.5,38,0.8,2000,Winter,No Holiday,Yes,1,12,2017
2,173,2,-6.0,39,1.0,2000,Winter,No Holiday,Yes,1,12,2017
3,107,3,-6.2,40,0.9,2000,Winter,No Holiday,Yes,1,12,2017
4,78,4,-6.0,36,2.3,2000,Winter,No Holiday,Yes,1,12,2017
5,100,5,-6.4,37,1.5,2000,Winter,No Holiday,Yes,1,12,2017
6,181,6,-6.6,35,1.3,2000,Winter,No Holiday,Yes,1,12,2017
7,460,7,-7.4,38,0.9,2000,Winter,No Holiday,Yes,1,12,2017
8,930,8,-7.6,37,1.1,2000,Winter,No Holiday,Yes,1,12,2017
9,490,9,-6.5,27,0.5,1928,Winter,No Holiday,Yes,1,12,2017
10,339,10,-3.5,24,1.2,1996,Winter,No Holiday,Yes,1,12,2017
11,360,11,-0.5,21,1.3,1936,Winter,No Holiday,Yes,1,12,2017
12,449,12,1.7,23,1.4,2000,Winter,No Holiday,Yes,1,12,2017
13,451,13,2.4,25,1.6,2000,Winter,No Holiday,Yes,1,12,2017
14,447,14,3.0,26,2.0,2000,Winter,No Holiday,Yes,1,12,2017
15,463,15,2.1,36,3.2,2000,Winter,No Holiday,Yes,1,12,2017
16,484,16,1.2,54,4.2,793,Winter,No Holiday,Yes,1,12,2017
17,555,17,0.8,58,1.6,2000,Winter,No Holiday,Yes,1,12,2017
18,862,18,0.6,66,1.4,2000,Winter,No Holiday,Yes,1,12,2017
19,600,19,0.0,77,1.7,2000,Winter,No Holiday,Yes,1,12,2017
20,426,20,-0.3,79,1.5,1913,Winter,No Holiday,Yes,1,12,2017
21,405,21,-0.8,81,0.8,1687,Winter,No Holiday,Yes,1,12,2017
22,398,22,-0.9,83,1.5,1380,Winter,No Holiday,Yes,1,12,2017
23,323,23,-1.3,84,1.0,1265,Winter,No Holiday,Yes,1,12,2017
24,328,0,-1.8,87,1.1,994,Winter,No Holiday,Yes,12,2,2017
25,308,1,-2.2,86,0.6,990,Winter,No Holiday,Yes,12,2,2017
26,262,2,-2.9,86,1.5,1256,Winter,No Holiday,Yes,12,2,2017
27,167,3,-3.5,81,2.2,1221,Winter,No Holiday,Yes,12,2,2017
28,89,4,-3.8,79,2.0,1167,Winter,No Holiday,Yes,12,2,2017
29,79,5,-4.0,79,1.5,1202,Winter,No Holiday,Yes,12,2,2017
30,70,6,-4.3,82,2.1,1178,Winter,No Holiday,Yes,12,2,2017
31,146,7,-4.4,81,2.5,1276,Winter,No Holiday,Yes,12,2,2017
32,219,8,-4.2,79,2.1,1436,Winter,No Holiday,Yes,12,2,2017
33,328,9,-2.9,68,1.6,1487,Winter,No Holiday,Yes,12,2,2017
34,334,10,-0.4,57,1.6,1309,Winter,No Holiday,Yes,12,2,2017
35,388,11,1.9,49,1.8,1406,Winter,No Holiday,Yes,12,2,2017
36,479,12,4.3,41,1.3,1666,Winter,No Holiday,Yes,12,2,2017
37,606,13,6.0,36,1.8,1780,Winter,No Holiday,Yes,12,2,2017
38,611,14,7.3,35,1.3,1955,Winter,No Holiday,Yes,12,2,2017
39,589,15,7.6,41,2.3,1953,Winter,No Holiday,Yes,12,2,2017
40,618,16,6.4,48,2.6,1945,Winter,No Holiday,Yes,12,2,2017
41,572,17,6.0,51,2.5,1891,Winter,No Holiday,Yes,12,2,2017
42,489,18,5.5,53,1.5,1697,Winter,No Holiday,Yes,12,2,2017
43,385,19,5.0,52,2.3,1666,Winter,No Holiday,Yes,12,2,2017
44,359,20,4.6,51,1.2,1585,Winter,No Holiday,Yes,12,2,2017
45,377,21,4.1,55,1.2,1448,Winter,No Holiday,Yes,12,2,2017
46,354,22,3.5,54,1.5,1446,Winter,No Holiday,Yes,12,2,2017
47,366,23,4.0,56,1.0,1352,Winter,No Holiday,Yes,12,2,2017
48,342,0,4.0,58,1.4,1296,Winter,No Holiday,Yes,12,3,2017
49,227,1,3.9,69,1.7,485,Winter,No Holiday,Yes,12,3,2017
50,228,2,3.3,79,1.4,830,Winter,No Holiday,Yes,12,3,2017
51,117,3,3.4,71,1.6,1011,Winter,No Holiday,Yes,12,3,2017
52,76,4,3.5,73,1.0,1060,Winter,No Holiday,Yes,12,3,2017
53,32,5,3.9,75,1.9,914,Winter,No Holiday,Yes,12,3,2017
54,13,6,3.4,86,2.5,278,Winter,No Holiday,Yes,12,3,2017
55,22,7,3.1,91,1.2,129,Winter,No Holiday,Yes,12,3,2017
56,85,8,3.2,92,1.8,244,Winter,No Holiday,Yes,12,3,2017
57,152,9,3.5,91,1.8,231,Winter,No Holiday,Yes,12,3,2017
58,200,10,4.4,89,2.2,257,Winter,No Holiday,Yes,12,3,2017
59,273,11,5.1,87,1.4,321,Winter,No Holiday,Yes,12,3,2017
60,333,12,5.8,85,1.7,349,Winter,No Holiday,Yes,12,3,2017
61,495,13,6.8,81,1.9,390,Winter,No Holiday,Yes,12,3,2017
62,563,14,7.6,76,1.2,422,Winter,No Holiday,Yes,12,3,2017
63,621,15,8.0,73,1.6,433,Winter,No Holiday,Yes,12,3,2017
64,598,16,7.6,77,1.6,399,Winter,No Holiday,Yes,12,3,2017
65,545,17,6.7,82,1.5,358,Winter,No Holiday,Yes,12,3,2017
66,443,18,6.0,84,1.9,327,Winter,No Holiday,Yes,12,3,2017
67,422,19,5.7,85,1.7,309,Winter,No Holiday,Yes,12,3,2017
68,397,20,5.2,87,1.4,253,Winter,No Holiday,Yes,12,3,2017
69,385,21,4.7,87,1.2,247,Winter,No Holiday,Yes,12,3,2017
70,350,22,4.3,89,1.8,201,Winter,No Holiday,Yes,12,3,2017
71,303,23,3.9,90,1.3,194,Winter,No Holiday,Yes,12,3,2017
72,285,0,4.2,88,0.6,216,Winter,No Holiday,Yes,12,4,2017
73,186,1,4.3,87,0.5,221,Winter,No Holiday,Yes,12,4,2017
74,112,2,4.4,87,1.8,207,Winter,No Holiday,Yes,12,4,2017
75,65,3,3.6,85,2.3,206,Winter,No Holiday,Yes,12,4,2017
76,41,4,2.8,89,1.5,130,Winter,No Holiday,Yes,12,4,2017
77,82,5,2.0,83,2.7,253,Winter,No Holiday,Yes,12,4,2017
78,200,6,1.2,76,3.7,371,Winter,No Holiday,Yes,12,4,2017
79,498,7,0.2,68,3.4,702,Winter,No Holiday,Yes,12,4,2017
80,937,8,-0.8,69,3.5,954,Winter,No Holiday,Yes,12,4,2017
81,509,9,-1.5,47,4.2,1888,Winter,No Holiday,Yes,12,4,2017
82,311,10,-1.1,40,4.5,2000,Winter,No Holiday,Yes,12,4,2017
83,379,11,-0.5,41,4.1,1799,Winter,No Holiday,Yes,12,4,2017
84,393,12,-0.3,38,4.8,1823,Winter,No Holiday,Yes,12,4,2017
85,391,13,0.0,30,5.4,1938,Winter,No Holiday,Yes,12,4,2017
86,338,14,0.1,27,4.5,2000,Winter,No Holiday,Yes,12,4,2017
87,341,15,-0.1,25,5.8,2000,Winter,No Holiday,Yes,12,4,2017
88,375,16,-0.2,23,4.7,2000,Winter,No Holiday,Yes,12,4,2017
89,515,17,-1.3,26,5.3,2000,Winter,No Holiday,Yes,12,4,2017
90,807,18,-2.1,29,3.9,2000,Winter,No Holiday,Yes,12,4,2017
91,568,19,-2.9,32,3.2,2000,Winter,No Holiday,Yes,12,4,2017
92,398,20,-3.6,38,3.0,2000,Winter,No Holiday,Yes,12,4,2017
93,397,21,-4.6,43,4.5,2000,Winter,No Holiday,Yes,12,4,2017
94,353,22,-5.3,45,2.5,2000,Winter,No Holiday,Yes,12,4,2017
95,248,23,-5.8,44,2.4,2000,Winter,No Holiday,Yes,12,4,2017
96,216,0,-6.1,42,2.6,2000,Winter,No Holiday,Yes,12,5,2017
97,198,1,-6.5,41,2.8,2000,Winter,No Holiday,Yes,12,5,2017
98,124,2,-6.8,41,2.5,2000,Winter,No Holiday,Yes,12,5,2017
99,62,3,-6.9,39,2.0,2000,Winter,No Holiday,Yes,12,5,2017
100,42,4,-7.2,34,3.0,2000,Winter,No Holiday,Yes,12,5,2017
101,82,5,-7.4,33,2.6,2000,Winter,No Holiday,Yes,12,5,2017
102,172,6,-7.4,34,3.2,2000,Winter,No Holiday,Yes,12,5,2017
103,381,7,-7.5,33,2.2,2000,Winter,No Holiday,Yes,12,5,2017
104,812,8,-8.1,36,1.6,2000,Winter,No Holiday,Yes,12,5,2017
105,462,9,-7.6,31,1.3,1974,Winter,No Holiday,Yes,12,5,2017
106,269,10,-5.5,26,2.8,1967,Winter,No Holiday,Yes,12,5,2017
107,334,11,-3.9,25,0.0,1959,Winter,No Holiday,Yes,12,5,2017
108,321,12,-2.3,25,0.0,1962,Winter,No Holiday,Yes,12,5,2017
109,325,13,-1.6,27,0.0,1955,Winter,No Holiday,Yes,12,5,2017
110,334,14,-1.1,28,0.0,2000,Winter,No Holiday,Yes,12,5,2017
111,353,15,-0.7,28,0.0,2000,Winter,No Holiday,Yes,12,5,2017
112,435,16,-0.5,30,0.0,2000,Winter,No Holiday,Yes,12,5,2017
113,529,17,-1.6,35,0.0,2000,Winter,No Holiday,Yes,12,5,2017
114,789,18,-2.6,40,0.0,2000,Winter,No Holiday,Yes,12,5,2017
115,597,19,-3.2,45,0.0,2000,Winter,No Holiday,Yes,12,5,2017
116,418,20,-3.5,46,0.0,2000,Winter,No Holiday,Yes,12,5,2017
117,415,21,-3.7,47,0.0,2000,Winter,No Holiday,Yes,12,5,2017
118,393,22,-2.8,49,0.0,2000,Winter,No Holiday,Yes,12,5,2017
119,244,23,-2.5,59,0.0,1210,Winter,No Holiday,Yes,12,5,2017
120,145,0,-2.8,77,0.0,331,Winter,No Holiday,Yes,12,6,2017
121,144,1,-3.0,79,0.0,293,Winter,No Holiday,Yes,12,6,2017
122,117,2,-3.0,79,0.0,1862,Winter,No Holiday,Yes,12,6,2017
123,78,3,-3.2,78,0.0,1808,Winter,No Holiday,Yes,12,6,2017
124,58,4,-3.4,75,0.0,1982,Winter,No Holiday,Yes,12,6,2017
125,87,5,-3.6,76,0.0,1934,Winter,No Holiday,Yes,12,6,2017
126,142,6,-3.7,76,0.0,1864,Winter,No Holiday,Yes,12,6,2017
127,379,7,-4.2,77,0.0,1741,Winter,No Holiday,Yes,12,6,2017
128,802,8,-4.2,78,0.0,1518,Winter,No Holiday,Yes,12,6,2017
129,440,9,-3.3,70,0.0,1324,Winter,No Holiday,Yes,12,6,2017
130,307,10,-0.9,64,0.0,1224,Winter,No Holiday,Yes,12,6,2017
131,381,11,1.6,57,1.2,1261,Winter,No Holiday,Yes,12,6,2017
132,405,12,2.4,52,0.9,1224,Winter,No Holiday,Yes,12,6,2017
133,442,13,4.2,47,1.1,1469,Winter,No Holiday,Yes,12,6,2017
134,416,14,5.5,34,1.0,1966,Winter,No Holiday,Yes,12,6,2017
135,412,15,5.5,31,3.1,1968,Winter,No Holiday,Yes,12,6,2017
136,496,16,5.3,37,2.9,2000,Winter,No Holiday,Yes,12,6,2017
137,239,17,4.1,60,2.5,1565,Winter,No Holiday,Yes,12,6,2017
138,204,18,1.7,90,1.0,66,Winter,No Holiday,Yes,12,6,2017
139,205,19,1.2,92,0.7,180,Winter,No Holiday,Yes,12,6,2017
